iter	Passed	Remaining
0	19	19789
1	24	12331
2	28	9620
3	32	8141
4	37	7439
5	41	6894
6	46	6598
7	51	6351
8	59	6519
9	63	6280
10	68	6134
11	72	5940
12	83	6304
13	87	6151
14	93	6160
15	98	6053
16	104	6016
17	110	6029
18	115	5974
19	119	5851
20	123	5764
21	129	5772
22	134	5723
23	139	5665
24	148	5778
25	152	5728
26	157	5679
27	161	5618
28	166	5586
29	171	5553
30	177	5547
31	184	5591
32	193	5666
33	199	5668
34	203	5619
35	209	5599
36	214	5587
37	221	5619
38	226	5582
39	231	5565
40	238	5574
41	246	5619
42	251	5606
43	258	5608
44	263	5582
45	270	5603
46	274	5573
47	278	5527
48	282	5482
49	286	5444
50	290	5406
51	294	5365
52	298	5326
53	301	5287
54	305	5249
55	310	5229
56	314	5201
57	318	5167
58	323	5166
59	328	5140
60	332	5113
61	336	5093
62	340	5068
63	344	5038
64	348	5018
65	352	4986
66	355	4955
67	359	4927
68	363	4898
69	366	4867
70	370	4845
71	374	4820
72	377	4790
73	380	4766
74	384	4741
75	388	4722
76	392	4701
77	396	4681
78	399	4656
79	420	4839
80	426	4835
81	431	4828
82	435	4812
83	439	4795
84	444	4782
85	448	4765
86	452	4746
87	456	4733
88	462	4729
89	465	4710
90	469	4692
91	474	4684
92	479	4671
93	483	4662
94	488	4653
95	492	4636
96	497	4627
97	501	4613
98	505	4599
99	509	4586
100	515	4592
101	521	4587
102	525	4576
103	531	4583
104	544	4643
105	557	4698
106	561	4682
107	565	4672
108	572	4675
109	578	4676
110	584	4677
111	589	4676
112	593	4660
113	597	4643
114	600	4624
115	604	4607
116	608	4591
117	612	4578
118	616	4565
119	620	4550
120	623	4532
121	628	4519
122	631	4504
123	635	4486
124	638	4470
125	642	4455
126	646	4443
127	650	4429
128	655	4426
129	660	4421
130	666	4419
131	670	4408
132	674	4395
133	680	4395
134	683	4381
135	687	4368
136	691	4356
137	695	4343
138	698	4329
139	706	4338
140	710	4327
141	714	4316
142	719	4312
143	724	4305
144	729	4298
145	733	4291
146	737	4279
147	741	4266
148	745	4256
149	748	4243
150	752	4229
151	756	4219
152	759	4205
153	763	4195
154	767	4185
155	771	4172
156	774	4160
157	778	4146
158	782	4138
159	785	4125
160	789	4113
161	795	4115
162	799	4104
163	804	4100
164	808	4092
165	812	4079
166	815	4066
167	819	4056
168	823	4048
169	827	4038
170	829	4023
171	835	4020
172	839	4013
173	843	4006
174	848	3998
175	852	3990
176	857	3985
177	861	3978
178	865	3970
179	870	3963
180	874	3957
181	879	3951
182	884	3951
183	889	3946
184	894	3942
185	903	3953
186	909	3952
187	912	3942
188	919	3943
189	924	3939
190	929	3938
191	935	3937
192	940	3933
193	947	3934
194	951	3929
195	957	3925
196	961	3920
197	967	3919
198	972	3913
199	976	3904
200	980	3896
201	985	3891
202	989	3883
203	995	3883
204	999	3876
205	1003	3865
206	1006	3856
207	1017	3873
208	1021	3866
209	1025	3857
210	1029	3848
211	1033	3841
212	1038	3835
213	1042	3829
214	1045	3817
215	1056	3834
216	1060	3827
217	1065	3821
218	1073	3826
219	1079	3828
220	1083	3819
221	1091	3825
222	1099	3830
223	1105	3829
224	1110	3825
225	1116	3823
226	1121	3818
227	1126	3814
228	1131	3808
229	1134	3799
230	1140	3795
231	1144	3790
232	1150	3786
233	1156	3784
234	1161	3779
235	1168	3781
236	1174	3780
237	1179	3776
238	1183	3767
239	1186	3758
240	1190	3750
241	1195	3745
242	1199	3737
243	1204	3730
244	1207	3721
245	1211	3712
246	1215	3705
247	1219	3697
248	1222	3687
249	1226	3679
250	1230	3670
251	1235	3666
252	1240	3661
253	1243	3653
254	1247	3644
255	1252	3639
256	1256	3632
257	1260	3625
258	1264	3618
259	1268	3610
260	1272	3603
261	1276	3594
262	1280	3587
263	1283	3577
264	1286	3568
